"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.291292508E1,-3.286249936E-2,1.417624950E-1,1.305837512E0,1.313920910E0
4.291491338E1,-3.616249934E-2,1.332374960E-1,1.295112491E0,1.302450122E0
4.291690162E1,-4.248749837E-2,1.214125007E-1,1.284525037E0,1.290949555E0
4.291888969E1,-4.991250113E-2,1.065625027E-1,1.276000023E0,1.281414407E0
4.292087791E1,-5.953750014E-2,9.157499671E-2,1.267475009E0,1.272172784E0
4.292286599E1,-6.599999964E-2,7.562500238E-2,1.258949995E0,1.262945063E0
4.292485422E1,-7.122500241E-2,5.967500061E-2,1.251525044E0,1.254969738E0
4.292684253E1,-7.878749818E-2,4.262499884E-2,1.244099975E0,1.247320772E0
4.292883060E1,-8.511249721E-2,2.667500079E-2,1.236537457E0,1.239750206E0
4.293081883E1,-9.047500044E-2,1.278750040E-2,1.229112506E0,1.232504279E0
4.293280681E1,-9.473749995E-2,-1.099999994E-3,1.220587492E0,1.224259053E0
4.293479512E1,-9.679999948E-2,-1.484999992E-2,1.213162541E0,1.217108916E0
4.293678320E1,-9.790000319E-2,-2.667500079E-2,1.205737472E0,1.209999511E0
4.293877143E1,-9.899999946E-2,-3.836249933E-2,1.196112514E0,1.200815484E0
4.294075950E1,-9.899999946E-2,-5.115000159E-2,1.187587500E0,1.192804004E0
4.294274773E1,-9.679999948E-2,-6.599999964E-2,1.180162549E0,1.185963693E0
4.294473580E1,-9.473749995E-2,-7.878749818E-2,1.172737479E0,1.179192885E0
4.294672410E1,-9.253749996E-2,-8.951249719E-2,1.165174961E0,1.172266337E0
4.294871234E1,-8.937499672E-2,-9.899999946E-2,1.157750010E0,1.165407215E0
4.295070041E1,-8.621250093E-2,-1.065625027E-1,1.152387500E0,1.160510712E0
4.295268864E1,-8.195000142E-2,-1.108250022E-1,1.146062493E0,1.154321109E0
4.295467672E1,-7.548750192E-2,-1.128875017E-1,1.141800046E0,1.149847510E0
4.295666496E1,-6.916250288E-2,-1.108250022E-1,1.139600039E0,1.147063155E0
4.295865304E1,-6.173750013E-2,-1.032624990E-1,1.137537479E0,1.143882065E0
4.296064134E1,-5.527500063E-2,-9.267500043E-2,1.135337472E0,1.140453926E0
4.296262958E1,-4.784999788E-2,-8.304999769E-2,1.134374976E0,1.138417108E0
4.296461765E1,-3.822499886E-2,-6.819999963E-2,1.133275032E0,1.135968613E0
4.296660588E1,-2.969999984E-2,-4.798749834E-2,1.132174969E0,1.133580632E0
4.296859396E1,-2.227500081E-2,-3.093750030E-2,1.130112529E0,1.130755337E0
4.297058219E1,-1.374999993E-2,-1.594999991E-2,1.129012465E0,1.129208843E0
4.297257027E1,-4.124999978E-3,4.262499977E-3,1.126812458E0,1.126828070E0
4.297455850E1,4.399999976E-3,2.447500080E-2,1.122550011E0,1.122825415E0
4.297654681E1,1.182499994E-2,4.152499884E-2,1.117324948E0,1.118158842E0
4.297853481E1,1.924999990E-2,6.077500060E-2,1.111962438E0,1.113788412E0
4.298052309E1,2.667500079E-2,7.672499865E-2,1.105499983E0,1.108480263E0
4.298251117E1,3.423750028E-2,9.157499671E-2,1.098075032E0,1.102418688E0
4.298449940E1,4.276249930E-2,1.054624990E-1,1.089550018E0,1.095477162E0
4.298648771E1,5.018749833E-2,1.161874980E-1,1.079924941E0,1.087316052E0
4.298847571E1,5.871250108E-2,1.236125007E-1,1.071537495E0,1.080240626E0
4.299046379E1,6.929999590E-2,1.289750040E-1,1.060812473E0,1.070868874E0
4.299245201E1,7.892499864E-2,1.310375035E-1,1.051187515E0,1.062259467E0
